,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.53,20.04,14.0,94.0,9.0,1.54,ZA,1615854655.0
1,te anau,-45.42,167.72,12.7,52.0,81.0,1.99,NZ,1615854691.0
2,rikitea,-23.12,-134.97,27.02,75.0,85.0,5.09,PF,1615854691.0
3,houma,29.6,-90.72,23.33,94.0,90.0,4.63,US,1615854586.0
4,ushuaia,-54.8,-68.3,4.0,70.0,90.0,9.77,AR,1615854454.0
5,pevek,69.7,170.31,-21.52,84.0,0.0,4.51,RU,1615854691.0
6,victor harbor,-35.57,138.62,16.67,89.0,93.0,4.72,AU,1615854692.0
7,busselton,-33.65,115.33,20.56,47.0,99.0,2.24,AU,1615854692.0
8,jamestown,42.1,-79.24,0.0,31.0,1.0,2.72,US,1615854692.0
9,barranca,-10.75,-77.77,22.13,81.0,100.0,1.97,PE,1615854693.0
10,albany,42.6,-73.97,-3.33,21.0,0.0,4.02,US,1615854543.0
11,cape town,-33.93,18.42,20.0,77.0,20.0,6.17,ZA,1615854693.0
12,hwange,-18.37,26.5,18.41,94.0,32.0,0.61,ZW,1615854694.0
13,lagoa,39.05,-27.98,15.31,91.0,0.0,5.71,PT,1615854694.0
14,khatanga,71.97,102.5,-33.95,97.0,100.0,3.6,RU,1615854694.0
15,mount isa,-20.73,139.5,26.0,57.0,40.0,5.14,AU,1615854694.0
16,puerto ayora,-0.74,-90.35,23.89,96.0,20.0,0.45,EC,1615854675.0
17,iralaya,15.0,-83.23,27.0,78.0,20.0,3.6,HN,1615854695.0
18,menongue,-14.66,17.69,17.2,96.0,100.0,1.3,AO,1615854695.0
19,bluff,-46.6,168.33,13.89,67.0,84.0,8.94,NZ,1615854696.0
20,hilo,19.73,-155.09,27.0,57.0,40.0,2.57,US,1615854486.0
21,vaini,-21.2,-175.2,24.0,94.0,90.0,5.66,TO,1615854696.0
22,san patricio,28.02,-97.52,24.0,83.0,75.0,5.66,US,1615854696.0
23,lapua,62.97,23.01,0.0,90.0,100.0,1.53,FI,1615854697.0
24,jiuquan,39.74,98.52,-1.23,21.0,0.0,1.96,CN,1615854697.0
25,adrar,20.5,-10.07,21.84,21.0,0.0,4.07,MR,1615854697.0
26,mezen,65.85,44.24,-7.29,97.0,98.0,0.54,RU,1615854491.0
27,geraldton,-28.77,114.6,28.0,20.0,100.0,8.75,AU,1615854698.0
28,belmonte,-15.86,-38.88,26.0,69.0,0.0,4.63,BR,1615854698.0
29,mataura,-46.19,168.86,13.89,67.0,4.0,8.94,NZ,1615854698.0
30,alibag,18.64,72.88,27.0,54.0,0.0,2.57,IN,1615854699.0
31,iqaluit,63.75,-68.51,-28.89,63.0,20.0,4.12,CA,1615854604.0
32,semey,50.41,80.23,-26.0,84.0,0.0,2.0,KZ,1615854699.0
33,dingle,11.0,122.67,28.19,73.0,100.0,1.2,PH,1615854700.0
34,butaritari,3.07,172.79,27.65,79.0,100.0,6.89,KI,1615854700.0
35,palmer,42.16,-72.33,-2.78,22.0,20.0,3.6,US,1615854700.0
36,lumphat,13.49,106.98,26.3,52.0,99.0,1.92,KH,1615854701.0
37,hithadhoo,-0.6,73.08,28.5,69.0,100.0,3.88,MV,1615854701.0
38,hobart,-42.88,147.33,16.67,51.0,75.0,3.09,AU,1615854701.0
39,tautira,-17.73,-149.15,31.0,62.0,20.0,4.63,PF,1615854702.0
40,comodoro rivadavia,-45.87,-67.5,17.0,59.0,0.0,5.66,AR,1615854702.0
41,padang,-0.95,100.35,24.0,100.0,40.0,0.51,ID,1615854702.0
42,grindavik,63.84,-22.43,5.0,93.0,0.0,9.26,IS,1615854554.0
43,berezovyy,51.67,135.7,-2.46,83.0,100.0,6.33,RU,1615854703.0
44,yellowknife,62.46,-114.35,-18.89,71.0,1.0,4.63,CA,1615854703.0
45,georgetown,5.41,100.34,27.22,89.0,20.0,1.54,MY,1615854543.0
46,saskylakh,71.92,114.08,-29.36,95.0,100.0,2.05,RU,1615854704.0
47,atuona,-9.8,-139.03,26.83,71.0,70.0,5.63,PF,1615854704.0
48,sibolga,1.74,98.78,25.95,88.0,94.0,1.24,ID,1615854704.0
49,natitingou,10.3,1.38,30.0,48.0,70.0,1.03,BJ,1615854705.0
50,saint-philippe,-21.36,55.77,25.0,78.0,0.0,2.06,RE,1615854705.0
51,barrow,71.29,-156.79,-19.0,78.0,90.0,8.75,US,1615854705.0
52,labuhan,-6.88,112.21,26.92,81.0,100.0,1.89,ID,1615854706.0
53,boa vista,2.82,-60.67,27.0,65.0,0.0,2.57,BR,1615854706.0
54,cidreira,-30.18,-50.21,23.13,83.0,70.0,5.71,BR,1615854706.0
55,yulara,-25.24,130.99,21.0,21.0,0.0,8.23,AU,1615854707.0
56,punta arenas,-53.15,-70.92,5.0,56.0,20.0,8.75,CL,1615854671.0
57,flin flon,54.77,-101.86,6.0,52.0,20.0,4.63,CA,1615854707.0
58,ongandjera,-17.88,15.07,22.32,71.0,92.0,4.27,NA,1615854707.0
59,abu dhabi,24.47,54.37,20.0,83.0,0.0,1.54,AE,1615854472.0
60,vagur,61.47,-6.81,6.42,93.0,100.0,11.56,FO,1615854708.0
61,maykor,59.01,55.88,-3.63,91.0,100.0,5.0,RU,1615854708.0
62,vardo,70.37,31.11,-1.62,66.0,100.0,1.66,NO,1615854708.0
63,bonavista,48.65,-53.11,-3.89,93.0,100.0,2.57,CA,1615854709.0
64,emba,48.83,58.14,-16.84,64.0,0.0,1.59,KZ,1615854709.0
65,gondanglegi,-7.75,112.01,26.82,80.0,100.0,0.88,ID,1615854709.0
66,hermanus,-34.42,19.23,15.56,95.0,6.0,3.16,ZA,1615854710.0
67,kapaa,22.08,-159.32,25.0,78.0,20.0,7.2,US,1615854710.0
68,chuy,-33.7,-53.46,19.16,87.0,100.0,3.12,UY,1615854710.0
69,mahebourg,-20.41,57.7,25.0,83.0,20.0,3.6,MU,1615854711.0
70,sitka,57.05,-135.33,3.0,87.0,90.0,5.14,US,1615854711.0
71,tuy hoa,13.08,109.3,24.07,77.0,10.0,1.64,VN,1615854684.0
72,kaitangata,-46.28,169.85,13.89,63.0,71.0,9.39,NZ,1615854711.0
73,loukhi,66.08,33.04,-5.82,96.0,97.0,0.52,RU,1615854712.0
74,ostrovnoy,68.05,39.51,-7.44,96.0,74.0,1.17,RU,1615854712.0
75,vao,-22.67,167.48,24.74,81.0,73.0,5.99,NC,1615854712.0
76,castro,-24.79,-50.01,17.55,92.0,82.0,1.6,BR,1615854713.0
77,novyy svit,47.81,38.02,1.62,90.0,75.0,6.97,UA,1615854713.0
78,lufilufi,-13.87,-171.6,33.0,70.0,40.0,6.69,WS,1615854713.0
79,half moon bay,37.46,-122.43,11.67,66.0,75.0,10.29,US,1615854714.0
80,tupik,54.43,119.93,-14.86,75.0,0.0,1.32,RU,1615854679.0
81,asfi,32.3,-9.24,14.09,79.0,1.0,5.42,MA,1615854714.0
82,melioratorov,57.21,65.61,-10.0,79.0,0.0,4.0,RU,1615854714.0
83,bojonegoro,-7.15,111.88,26.48,82.0,100.0,1.23,ID,1615854715.0
84,puerto escondido,15.85,-97.07,28.0,69.0,40.0,2.57,MX,1615854715.0
85,sakakah,29.97,40.21,20.0,22.0,99.0,7.72,SA,1615854715.0
86,nikolskoye,59.7,30.79,1.11,93.0,90.0,5.0,RU,1615854716.0
87,henties bay,-22.12,14.28,15.56,91.0,16.0,3.35,NA,1615854716.0
88,east london,-33.02,27.91,20.69,80.0,1.0,7.11,ZA,1615854716.0
89,rio grande,-32.03,-52.1,21.63,77.0,0.0,4.06,BR,1615854626.0
90,phuket,8.0,98.25,24.0,83.0,20.0,0.51,TH,1615854717.0
91,sugod,12.99,124.08,27.86,75.0,88.0,0.92,PH,1615854717.0
92,mustasaari,63.11,21.68,-1.0,100.0,0.0,2.06,FI,1615854717.0
93,urumqi,43.8,87.6,-4.0,100.0,90.0,1.0,CN,1615854718.0
94,genhe,50.78,121.52,-10.35,62.0,0.0,4.71,CN,1615854718.0
95,new norfolk,-42.78,147.06,16.67,46.0,14.0,0.89,AU,1615854718.0
96,malanje,-9.54,16.34,17.28,94.0,100.0,3.0,AO,1615854719.0
97,tambacounda,13.75,-13.76,30.0,37.0,0.0,2.06,SN,1615854719.0
98,tiksi,71.69,128.87,-27.85,94.0,100.0,3.04,RU,1615854719.0
99,bangui,4.36,18.55,26.0,78.0,20.0,2.06,CF,1615854720.0
100,mitchell,43.71,-98.03,1.0,86.0,90.0,3.09,US,1615854720.0
101,ahipara,-35.17,173.17,21.3,70.0,100.0,1.74,NZ,1615854720.0
102,kununurra,-15.77,128.73,26.0,89.0,90.0,3.09,AU,1615854721.0
103,sao filipe,14.9,-24.5,21.32,76.0,15.0,2.36,CV,1615854721.0
104,callaguip,18.07,120.49,26.0,89.0,75.0,2.57,PH,1615854721.0
105,fasa,28.94,53.65,6.0,52.0,0.0,0.75,IR,1615854722.0
106,kimbe,-5.55,150.14,31.19,57.0,45.0,1.76,PG,1615854722.0
107,namatanai,-3.67,152.43,29.8,62.0,28.0,1.71,PG,1615854722.0
108,tongchuan,35.08,109.09,10.34,66.0,99.0,4.82,CN,1615854723.0
109,saint anthony,45.02,-93.22,-0.56,86.0,90.0,3.6,US,1615854658.0
110,akyab,20.15,92.9,21.52,56.0,0.0,2.81,MM,1615854723.0
111,upernavik,72.79,-56.15,-19.23,87.0,100.0,5.68,GL,1615854723.0
112,fortuna,40.6,-124.16,8.89,57.0,90.0,11.32,US,1615854724.0
113,kalakamati,-20.59,27.31,19.94,65.0,56.0,3.72,BW,1615854724.0
114,constitucion,-35.33,-72.42,12.43,86.0,1.0,0.62,CL,1615854657.0
115,angleton,29.17,-95.43,23.0,78.0,90.0,4.12,US,1615854500.0
116,nigde,37.83,34.75,2.51,92.0,44.0,4.39,TR,1615854725.0
