,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,guerrero negro,27.98,-114.06,14.69,71.0,100.0,7.83,MX,1615854725.0
118,marinette,45.1,-87.63,1.0,69.0,75.0,3.6,US,1615854725.0
119,yeppoon,-23.13,150.73,26.0,78.0,90.0,5.66,AU,1615854726.0
120,along,28.17,94.77,17.47,82.0,0.0,0.74,IN,1615854726.0
121,salinopolis,-0.61,-47.36,25.7,86.0,87.0,3.86,BR,1615854726.0
122,esperance,-33.87,121.9,18.0,72.0,0.0,6.17,AU,1615854727.0
123,saint george,37.1,-113.58,17.0,25.0,90.0,7.2,US,1615854724.0
124,port alfred,-33.59,26.89,18.89,90.0,20.0,1.34,ZA,1615854727.0
125,luderitz,-26.65,15.16,16.78,78.0,0.0,9.77,NA,1615854728.0
126,norman wells,65.28,-126.83,-17.0,66.0,40.0,2.57,CA,1615854728.0
127,ayakudi,10.45,77.55,20.74,64.0,0.0,0.72,IN,1615854728.0
128,tura,25.52,90.22,20.79,37.0,0.0,1.22,IN,1615854729.0
129,kingaroy,-26.53,151.83,19.0,82.0,90.0,6.17,AU,1615854729.0
130,gizo,-8.1,156.84,29.06,61.0,75.0,1.34,SB,1615854729.0
131,bengkulu,-3.8,102.27,26.29,86.0,100.0,1.27,ID,1615854730.0
132,hasaki,35.73,140.83,13.0,67.0,75.0,3.09,JP,1615854730.0
133,ketchikan,55.34,-131.65,3.0,100.0,90.0,9.26,US,1615854730.0
134,timmins,48.47,-81.33,-4.0,28.0,1.0,2.57,CA,1615854497.0
135,oriximina,-1.77,-55.87,25.41,82.0,100.0,1.36,BR,1615854731.0
136,thompson,55.74,-97.86,7.0,42.0,40.0,5.14,CA,1615854731.0
137,hastings,50.86,0.57,7.22,76.0,63.0,0.45,GB,1615854731.0
138,port lincoln,-34.73,135.87,19.71,74.0,96.0,5.09,AU,1615854732.0
139,ilulissat,69.22,-51.1,-6.0,73.0,75.0,7.72,GL,1615854732.0
140,urucara,-2.54,-57.76,24.61,87.0,100.0,0.6,BR,1615854732.0
141,amapa,1.0,-52.0,22.33,98.0,0.0,0.99,BR,1615854733.0
142,san cristobal,7.77,-72.22,25.0,83.0,40.0,1.03,VE,1615854733.0
143,dikson,73.51,80.55,-33.74,100.0,100.0,3.24,RU,1615854733.0
144,shahr-e kord,32.33,50.86,2.0,51.0,0.0,3.09,IR,1615854734.0
145,natal,-5.79,-35.21,27.0,74.0,40.0,3.6,BR,1615854734.0
146,avarua,-21.21,-159.78,29.0,70.0,3.0,5.14,CK,1615854734.0
147,beira,-19.84,34.84,24.0,94.0,20.0,2.06,MZ,1615854735.0
148,hurup,56.75,8.42,0.56,3.0,0.0,4.97,DK,1615854735.0
149,longyearbyen,78.22,15.64,-20.0,65.0,75.0,3.09,SJ,1615854735.0
150,vad,55.53,44.21,-1.81,93.0,100.0,5.51,RU,1615854736.0
151,pampa,35.54,-100.96,15.0,36.0,1.0,3.09,US,1615854736.0
152,krasnoselkup,65.7,82.47,-17.74,95.0,100.0,4.49,RU,1615854736.0
153,faanui,-16.48,-151.75,28.24,73.0,100.0,4.52,PF,1615854737.0
154,biak,-0.91,122.88,27.95,74.0,71.0,0.22,ID,1615854737.0
155,mehamn,71.04,27.85,-4.93,80.0,3.0,4.56,NO,1615854737.0
156,rudraprayag,30.28,78.98,14.1,35.0,0.0,1.73,IN,1615854738.0
157,rocha,-34.48,-54.33,17.14,94.0,100.0,2.14,UY,1615854738.0
158,sterling,39.01,-77.43,6.11,26.0,90.0,2.46,US,1615854447.0
159,juneau,58.3,-134.42,1.0,86.0,90.0,8.75,US,1615854738.0
160,faya,18.39,42.45,17.0,54.0,0.0,2.06,SA,1615854538.0
161,luganville,-15.53,167.17,28.88,70.0,95.0,2.03,VU,1615854739.0
162,maniitsoq,65.42,-52.9,-10.91,96.0,100.0,11.69,GL,1615854739.0
163,blyznyuky,48.86,36.56,0.44,92.0,90.0,5.71,UA,1615854739.0
164,yershichi,53.67,32.75,0.92,95.0,100.0,2.77,RU,1615854740.0
165,valdivia,-39.81,-73.25,14.0,88.0,90.0,1.54,CL,1615854487.0
166,bilma,18.69,12.92,24.1,16.0,0.0,6.5,NE,1615854740.0
167,cherskiy,68.75,161.3,-18.21,74.0,100.0,3.99,RU,1615854740.0
168,kavieng,-2.57,150.8,29.58,64.0,62.0,1.68,PG,1615854741.0
169,oytal,42.91,73.27,-4.18,75.0,38.0,1.58,KZ,1615854741.0
170,popondetta,-8.75,148.25,32.26,51.0,100.0,1.43,PG,1615854742.0
171,banda aceh,5.56,95.32,26.1,82.0,80.0,2.48,ID,1615854503.0
172,kruisfontein,-34.0,24.73,16.67,95.0,100.0,2.12,ZA,1615854742.0
173,waingapu,-9.66,120.26,28.25,72.0,97.0,0.66,ID,1615854742.0
174,wadi maliz,36.47,8.55,12.0,66.0,40.0,4.12,TN,1615854743.0
175,victoria,22.29,114.16,22.78,86.0,98.0,0.45,HK,1615854532.0
176,teahupoo,-17.83,-149.27,31.0,62.0,20.0,4.63,PF,1615854743.0
177,tasiilaq,65.61,-37.64,-5.79,90.0,100.0,13.16,GL,1615854744.0
178,mar del plata,-38.0,-57.56,21.67,73.0,0.0,3.6,AR,1615854744.0
179,komsomolskiy,40.43,71.72,-2.0,86.0,69.0,0.78,UZ,1615854744.0
180,tuktoyaktuk,69.45,-133.04,-19.0,78.0,75.0,6.69,CA,1615854744.0
181,dunedin,-45.87,170.5,13.89,58.0,36.0,13.41,NZ,1615854745.0
182,kamaishi,39.27,141.88,6.0,70.0,75.0,0.51,JP,1615854745.0
183,narsaq,60.92,-46.05,3.0,65.0,90.0,3.6,GL,1615854745.0
184,mayo,38.89,-76.51,5.0,36.0,1.0,2.59,US,1615854746.0
185,mount gambier,-37.83,140.77,16.0,67.0,90.0,5.66,AU,1615854746.0
186,snezhnogorsk,69.19,33.25,-4.0,93.0,75.0,2.0,RU,1615854495.0
187,qaanaaq,77.48,-69.36,-21.91,62.0,0.0,2.24,GL,1615854746.0
188,saint-nazaire,47.28,-2.2,11.0,82.0,90.0,1.54,FR,1615854747.0
189,agboville,5.93,-4.21,24.96,92.0,100.0,1.34,CI,1615854747.0
190,bambous virieux,-20.34,57.76,25.0,83.0,20.0,3.6,MU,1615854747.0
191,ponta do sol,32.67,-17.1,16.0,67.0,20.0,6.17,PT,1615854748.0
192,kodiak,57.79,-152.41,3.0,48.0,40.0,3.6,US,1615854748.0
193,waipawa,-41.41,175.52,19.0,82.0,75.0,9.77,NZ,1615854748.0
194,lodja,-3.48,23.43,21.06,97.0,100.0,0.67,CD,1615854749.0
195,ahuimanu,21.44,-157.84,26.0,88.0,75.0,4.63,US,1615854749.0
196,sur,22.57,59.53,23.08,59.0,0.0,2.24,OM,1615854749.0
197,lukaya,-0.15,31.87,23.0,88.0,20.0,2.02,UG,1615854750.0
198,odweyne,9.41,45.06,16.49,80.0,2.0,2.73,SO,1615854750.0
199,charyshskoye,51.4,83.56,-15.02,86.0,74.0,1.29,RU,1615854750.0
200,college,64.86,-147.8,-10.0,62.0,75.0,1.02,US,1615854613.0
201,nome,64.5,-165.41,-6.0,79.0,90.0,3.6,US,1615854751.0
202,ventspils,57.39,21.56,3.0,100.0,90.0,1.91,LV,1615854751.0
203,sokolovskoye,45.26,40.68,2.05,88.0,80.0,5.42,RU,1615854751.0
204,saint-pierre,-21.34,55.48,25.0,78.0,0.0,2.06,RE,1615854752.0
205,thinadhoo,0.53,72.93,27.87,74.0,99.0,3.93,MV,1615854498.0
206,kalabo,-14.97,22.68,19.08,88.0,88.0,2.19,ZM,1615854752.0
207,eureka,40.8,-124.16,10.0,63.0,23.0,4.92,US,1615854752.0
208,port elizabeth,-33.92,25.57,15.0,94.0,0.0,1.54,ZA,1615854560.0
209,inhambane,-23.86,35.38,24.39,87.0,23.0,2.55,MZ,1615854753.0
210,beba,22.44,-79.73,24.0,73.0,20.0,6.69,CU,1615854753.0
211,elko,41.0,-115.5,7.78,64.0,92.0,7.15,US,1615854754.0
212,iraray,8.99,118.05,27.85,75.0,0.0,1.64,PH,1615854754.0
213,airai,-8.93,125.41,19.94,84.0,100.0,0.82,TL,1615854754.0
214,pangnirtung,66.15,-65.71,-30.37,91.0,42.0,0.41,CA,1615854754.0
215,carnarvon,-24.87,113.63,28.0,74.0,0.0,4.63,AU,1615854755.0
216,terra santa,-2.1,-56.49,24.92,80.0,97.0,1.17,BR,1615854755.0
217,rundu,-17.93,19.77,18.57,73.0,82.0,1.76,NA,1615854755.0
218,longavi,-35.97,-71.68,11.59,85.0,0.0,0.74,CL,1615854756.0
219,gweta,-20.18,25.23,21.79,67.0,14.0,2.29,BW,1615854756.0
220,tahlequah,35.92,-94.97,16.0,39.0,1.0,2.57,US,1615854756.0
221,hargeysa,9.56,44.06,16.68,89.0,88.0,1.83,SO,1615854757.0
222,stolbishche,55.65,49.22,-7.0,73.0,40.0,7.0,RU,1615854757.0
223,coahuayana,18.73,-103.68,26.0,47.0,1.0,5.14,MX,1615854757.0
224,camacupa,-12.02,17.48,16.75,95.0,100.0,2.45,AO,1615854493.0
225,ormara,25.21,64.64,23.42,75.0,97.0,3.41,PK,1615854758.0
226,taree,-31.9,152.47,22.22,64.0,75.0,3.6,AU,1615854758.0
227,hervey bay,-25.3,152.85,23.0,94.0,75.0,6.69,AU,1615854464.0
228,souillac,-20.52,57.52,25.0,83.0,20.0,3.6,MU,1615854759.0
229,cabedelo,-6.98,-34.83,27.0,78.0,40.0,4.12,BR,1615854759.0
230,wenling,28.37,121.36,22.78,80.0,0.0,1.59,CN,1615854759.0
231,troitskoye,52.98,84.68,-13.23,95.0,96.0,2.98,RU,1615854760.0
232,namie,37.48,141.0,10.0,43.0,75.0,1.54,JP,1615854760.0
233,birobidzhan,48.8,132.95,-0.15,63.0,100.0,2.08,RU,1615854760.0
234,torbay,47.67,-52.73,-4.44,86.0,75.0,2.06,CA,1615854761.0
235,saldanha,-33.01,17.94,17.0,77.0,0.0,5.14,ZA,1615854761.0
236,anadyr,64.75,177.48,-19.0,71.0,0.0,9.0,RU,1615854761.0
237,manica,49.0,-1.17,6.0,100.0,0.0,3.6,FR,1615854762.0
238,vestmannaeyjar,63.44,-20.27,6.82,76.0,100.0,11.32,IS,1615854762.0
239,chincha alta,-13.41,-76.13,23.0,73.0,0.0,8.75,PE,1615854762.0
240,fort nelson,58.81,-122.7,-2.0,69.0,75.0,1.54,CA,1615854763.0
241,letlhakeng,-24.09,25.03,19.38,64.0,21.0,2.46,BW,1615854763.0
242,lompoc,34.64,-120.46,11.0,58.0,40.0,8.75,US,1615854763.0
243,porangatu,-13.44,-49.15,22.07,89.0,66.0,0.28,BR,1615854764.0
244,lorengau,-2.02,147.27,30.03,61.0,12.0,3.1,PG,1615854764.0
245,lata,40.16,-8.33,13.33,63.0,63.0,1.34,PT,1615854764.0
246,hov,60.7,10.35,0.0,82.0,51.0,1.64,NO,1615854765.0
247,ribeira grande,38.52,-28.7,15.94,89.0,5.0,5.85,PT,1615854765.0
248,port blair,11.67,92.75,26.49,76.0,77.0,2.58,IN,1615854765.0
249,kushima,31.46,131.23,18.0,59.0,75.0,2.06,JP,1615854765.0
250,russell,32.35,-85.2,23.0,56.0,75.0,1.54,US,1615854766.0
251,raudeberg,61.99,5.14,0.56,88.0,95.0,5.43,NO,1615854766.0
252,mahanoro,-19.9,48.8,22.91,92.0,13.0,2.99,MG,1615854767.0
253,wanning,18.8,110.4,24.01,80.0,13.0,2.53,CN,1615854724.0
254,stepnoye,51.4,46.87,-5.56,58.0,26.0,0.89,RU,1615854767.0
255,ayagoz,47.97,80.44,-17.08,94.0,86.0,3.25,KZ,1615854767.0
256,togur,58.36,82.83,-15.81,96.0,100.0,3.84,RU,1615854723.0
257,brae,60.4,-1.35,4.0,81.0,75.0,1.54,GB,1615854768.0
258,nakskov,54.84,11.13,3.89,87.0,0.0,4.92,DK,1615854768.0
259,itarema,-2.92,-39.92,25.46,81.0,5.0,2.53,BR,1615854769.0
260,nuevo casas grandes,30.42,-107.92,19.44,4.0,100.0,10.73,MX,1615854769.0
261,boyuibe,-20.42,-63.28,26.0,69.0,75.0,2.44,BO,1615854769.0
262,sabha,27.04,14.43,12.14,42.0,0.0,4.65,LY,1615854770.0
263,lavrentiya,65.58,-171.0,-8.14,89.0,97.0,2.1,RU,1615854770.0
264,porterville,36.07,-119.02,8.89,71.0,90.0,8.75,US,1615854770.0
265,klang,3.03,101.45,26.67,89.0,20.0,1.54,MY,1615854771.0
266,rio gallegos,-51.62,-69.22,9.0,43.0,75.0,7.72,AR,1615854629.0
267,komatipoort,-25.43,31.95,18.89,94.0,0.0,0.97,ZA,1615854771.0
268,mansfield,53.13,-1.2,7.78,90.0,100.0,2.43,GB,1615854771.0
269,mukhen,48.1,136.1,0.12,86.0,100.0,2.31,RU,1615854772.0
270,pucallpa,-8.38,-74.55,26.0,89.0,75.0,0.85,PE,1615854772.0
271,la ronge,55.1,-105.28,-2.0,46.0,46.0,5.66,CA,1615854772.0
272,zhigansk,66.77,123.37,-20.46,95.0,100.0,7.06,RU,1615854773.0
273,pimentel,-6.84,-79.93,25.0,69.0,0.0,6.69,PE,1615854773.0
274,mora,11.05,14.14,24.8,14.0,100.0,1.91,CM,1615854773.0
275,talcahuano,-36.72,-73.12,15.0,88.0,90.0,1.54,CL,1615854773.0
276,lebu,-37.62,-73.65,12.11,87.0,100.0,1.97,CL,1615854774.0
277,mackay,-21.15,149.2,28.0,78.0,75.0,4.63,AU,1615854710.0
278,arman,59.7,150.17,-5.91,82.0,100.0,1.41,RU,1615854733.0
279,pizarro,4.95,-77.37,25.58,83.0,100.0,2.27,CO,1615854774.0
280,yakeshi,49.28,120.73,-12.43,69.0,0.0,6.48,CN,1615854775.0
281,chokurdakh,70.63,147.92,-21.53,94.0,100.0,5.91,RU,1615854775.0
282,vila velha,-20.33,-40.29,25.0,78.0,40.0,3.6,BR,1615854746.0
283,jiehu,35.54,118.45,8.27,38.0,0.0,6.75,CN,1615854776.0
284,prince rupert,54.32,-130.32,3.0,87.0,90.0,7.72,CA,1615854776.0
285,seryshevo,51.09,128.38,-7.02,86.0,100.0,8.76,RU,1615854776.0
286,ballina,-28.87,153.57,23.0,73.0,75.0,7.72,AU,1615854777.0
287,peniche,39.36,-9.38,13.33,72.0,90.0,1.34,PT,1615854777.0
288,oyem,1.6,11.58,19.82,95.0,100.0,1.14,GA,1615854777.0
289,ayan,56.45,138.17,-8.26,63.0,100.0,5.6,RU,1615854778.0
290,road town,18.42,-64.62,25.0,73.0,40.0,4.63,VG,1615854778.0
291,qandala,11.47,49.87,24.7,76.0,20.0,2.27,SO,1615854778.0
292,kaeo,-35.1,173.78,22.22,78.0,100.0,0.45,NZ,1615854779.0
293,bulgan,48.81,103.53,-6.07,79.0,88.0,1.52,MN,1615854779.0
294,porto torres,40.84,8.4,14.0,62.0,75.0,6.17,IT,1615854779.0
295,calabozo,8.92,-67.43,29.23,53.0,19.0,3.05,VE,1615854779.0
296,kozlovka,55.84,48.25,-2.0,86.0,0.0,5.0,RU,1615854732.0
297,lesozavodsk,45.48,133.42,-0.44,66.0,1.0,4.56,RU,1615854780.0
298,makakilo city,21.35,-158.09,28.0,61.0,40.0,6.69,US,1615854780.0
299,presidente medici,-11.18,-61.9,22.51,97.0,19.0,0.69,BR,1615854781.0
300,siocon,7.71,122.14,28.95,71.0,8.0,0.81,PH,1615854781.0
301,bandarbeyla,9.49,50.81,25.42,82.0,100.0,5.39,SO,1615854781.0
302,matay,28.42,30.78,15.08,68.0,100.0,5.7,EG,1615854782.0
303,clyde river,70.47,-68.59,-24.0,77.0,1.0,8.75,CA,1615854782.0
304,baracoa,20.35,-74.5,23.48,78.0,71.0,4.31,CU,1615854782.0
305,mana,5.66,-53.78,24.53,84.0,54.0,4.59,GF,1615854783.0
306,acapulco,16.86,-99.89,28.0,69.0,40.0,2.06,MX,1615854771.0
307,ambulu,-8.35,113.61,27.14,81.0,86.0,0.87,ID,1615854783.0
308,salym,60.06,71.48,-10.82,97.0,92.0,2.63,RU,1615854783.0
309,liverpool,53.41,-2.98,9.44,87.0,90.0,2.57,GB,1615854784.0
310,svetlogorsk,52.63,29.73,1.32,96.0,100.0,3.64,BY,1615854784.0
311,vidim,56.41,103.11,-12.64,97.0,100.0,1.96,RU,1615854784.0
312,vyartsilya,62.18,30.69,0.14,98.0,100.0,2.47,RU,1615854785.0
313,sisimiut,66.94,-53.67,-13.39,96.0,100.0,8.53,GL,1615854785.0
314,huarmey,-10.07,-78.15,23.27,75.0,100.0,3.43,PE,1615854785.0
315,gat,31.61,34.76,13.89,100.0,0.0,0.87,IL,1615854786.0
316,talnakh,69.49,88.4,-35.79,94.0,16.0,1.59,RU,1615854786.0
317,berdigestyakh,62.1,126.7,-14.25,94.0,98.0,3.02,RU,1615854786.0
318,moshupa,-24.78,25.42,17.0,77.0,0.0,1.54,BW,1615854787.0
319,kaduqli,11.02,29.72,25.8,32.0,0.0,0.87,SD,1615854787.0
320,kinna,57.51,12.69,-2.0,86.0,0.0,2.06,SE,1615854787.0
321,ruhengeri,-1.5,29.64,13.18,91.0,100.0,0.45,RW,1615854736.0
322,dzhebariki-khaya,62.22,135.8,-20.4,92.0,91.0,1.78,RU,1615854788.0
323,kochki,54.34,80.48,-18.87,98.0,73.0,4.12,RU,1615854788.0
324,roald,62.58,6.13,1.0,75.0,40.0,2.57,NO,1615854788.0
325,ucluelet,48.93,-125.55,7.78,49.0,20.0,2.06,CA,1615854515.0
326,fengzhen,40.44,113.15,-1.78,19.0,0.0,0.92,CN,1615854789.0
327,ternate,0.8,127.4,28.81,71.0,99.0,0.67,ID,1615854789.0
328,coruripe,-10.13,-36.18,25.21,80.0,2.0,3.39,BR,1615854789.0
329,auki,-8.77,160.7,29.47,64.0,67.0,2.03,SB,1615854790.0
